question,label
"What is DCL (Data Control Language)?",low
"What does the SQL INSERT statement do?",low
"What does the SQL UPDATE statement do?",low
"What does the SQL DELETE statement do?",low
"What is the purpose of the ORDER BY clause in SQL?",low
"What is the purpose of the LIMIT clause in SQL?",low
"What is a subquery in SQL?",low
"What is an alias in SQL?",low
"What is the difference between UNION and UNION ALL in SQL?",low
"What is a constraint in SQL?",low
"What is a NOT NULL constraint?",low
"What is a UNIQUE constraint?",low
"What is a CHECK constraint?",low
"What is the purpose of the 'git status' command?",low
"What is the purpose of the 'git log' command?",low
"What is the purpose of the 'git diff' command?",low
"What is a remote repository in Git?",low
"What is the 'origin' in Git?",low
"What is a pull request?",low
"What is a 'git merge' command?",low
"What is a '.gitignore' file?",low
"What is a programming paradigm?",low
"What is procedural programming?",low
"What is functional programming?",low
"What are pure functions?",low
"What are side effects in functional programming?",low
"What is immutability?",low
"What is a pointer in C++?",low
"What is a reference in C++?",low
"What is the difference between a pointer and a reference in C++?",low
"What is the 'this' pointer in C++?",low
"What is a virtual function in C++?",low
"What is a template in C++?",low
"What is the Standard Template Library (STL) in C++?",low
"What is a vector in C++?",low
"What is a map in C++?",low
"What is an iterator in C++?",low
"What is the Global Interpreter Lock (GIL) in Python?",low
"What are decorators in Python?",low
"What are generators in Python?",low
"What is the 'yield' keyword in Python?",low
"What is a context manager in Python?",low
"What is the 'with' statement in Python?",low
"What is a metaclass in Python?",low
"What is the event loop in JavaScript?",low
"What is a callback function in JavaScript?",low
s"What is 'callback hell'?",low
"What does 'async/await' do in JavaScript?",low
"What is a module bundler (like Webpack)?",low
"What is a front-end framework (like React, Vue, Angular)?",low
"What is a component in a front-end framework?",low
"What is state management in front-end development?",low
"What is a cross-site scripting (XSS) attack?",low
"What is a cross-site request forgery (CSRF) attack?",low
"What is a denial-of-service (DoS) attack?",low
"What is a distributed denial-of-service (DDoS) attack?",low
"What is a man-in-the-middle (MITM) attack?",low
"What is hashing?",low
"What is the difference between hashing and encryption?",low
"What is salting a password?",low
"What is two-factor authentication (2FA)?",low
"What is OAuth?",low
"What is a JWT (JSON Web Token)?",low
"What is a binary search tree (BST)?",low
"What is the height of a tree?",low
"What is a balanced binary tree?",low
"What is an AVL tree?",low
"What is a Red-Black Tree?",low
"What is a heap?",low
"What is the difference between a min-heap and a max-heap?",low
"What is a priority queue?",low
"What is a trie (prefix tree)?",low
"What is dynamic programming?",low
"What is memoization?",low
"What is a greedy algorithm?",low
"What is a divide and conquer algorithm?",low
"What is backtracking?",low
"What is a bitmask?",low
"What is an adjacency matrix?",low
"What is an adjacency list?",low
"What is graph traversal?",low
"Explain Breadth-First Search (BFS).",low
"Explain Depth-First Search (DFS).",low
"What is a topological sort?",low
"What is a minimum spanning tree (MST)?",low
"What is Kruskal's algorithm?",low
"What is Prim's algorithm?",low
"What is Dijkstra's algorithm?",low
"What is the Bellman-Ford algorithm?",low
"What is the Floyd-Warshall algorithm?",low
"What is a network protocol?",low
"What is TCP/IP?",low
"What is the difference between TCP and UDP?",low
"What is a socket?",low
"What is a port number?",low
"What is localhost?",low
"What is a cookie?",low
"What is local storage in a browser?",low
"What is session storage in a browser?",low
"What is the difference between local storage and session storage?",low
"What is responsive web design?",low
"What is a CSS preprocessor (like Sass or Less)?",low
"What is a build tool (like Gulp or Grunt)?",low
"What is a linter?",low
"What is a code formatter?",low
"What is a packet in networking?",low
"What is a router?",low
"What is a switch?",low
"What is a MAC address?",low
"What is a subnet mask?",low
"What is a gateway?",low
"What is a proxy server?",low
"What is a reverse proxy?",low
"What is a thread pool?",low
"What is a connection pool?",low
"What is object pooling?",low
"What is lazy loading?",low
"What is eager loading?",low
"What is a singleton?",low
"What is dependency injection?",low
"What is inversion of control (IoC)?",low
"What is a content management system (CMS)?",low
"What is a static site generator?",low
"What is serverless computing?",low
"What is a relational database?",low
"What is a column-oriented database?",low
"What is a time-series database?",low
"What is a data warehouse?",low
"What is a data lake?",low
"What is ETL (Extract, Transform, Load)?",low
"What is data mining?",low
"What is big data?",low
"What is Hadoop?",low
"What is MapReduce?",low
"What is Spark?",low
"What is a Jupyter Notebook?",low
"What is a confusion matrix?",low
"What is precision in machine learning?",low
"What is recall in machine learning?",low
"What is an F1-score?",low
"What is an ROC curve?",low
"What is a feature in machine learning?",low
"What is feature engineering?",low
"What is feature selection?",low
"What is overfitting?",low
"What is underfitting?",low
"What is cross-validation?",low
"What is a hyperparameter?",low
"What is hyperparameter tuning?",low
"What is a model's bias?",low
"What is a model's variance?",low
"What is the bias-variance tradeoff?",low
"What is a regression problem?",low
"What is a classification problem?",low
"What is a clustering problem?",low
"What is linear regression?",low
"What is logistic regression?",low
"What is a decision tree?",low
"What is a random forest?",low
"What is a support vector machine (SVM)?",low
"What is K-means clustering?",low
"What is hierarchical clustering?",low
"What is dimensionality reduction?",low
"What is Principal Component Analysis (PCA)?",low
"What is natural language processing (NLP)?",low
"What is computer vision?",low
"What is an operating system?",low
"What is a kernel?",low
"What is a shell?",low
"What is a file descriptor?",low
"What is a system call?",low
"What is virtual memory?",low
"What is paging?",low
"What is segmentation?",low
"What is a context switch?",low
"What is a scheduler?",low
"What is a command?",low
"What is a script?",low
"What is a terminal?",low
"What is a shell script?",low
"What is a path environment variable?",low
"What is a standard input?",low
"What is a standard output?",low
"What is a standard error?",low
"What is a pipe in command line?",low
"What is a redirection in command line?",low
"What is a process ID (PID)?",low
"What is a signal in operating systems?",low
"What is a daemon?",low
"What is a service?",low
"What is a socket file?",low
"What is a symbolic link?",low
"What is a hard link?",low
"What is the difference between a symbolic and a hard link?",low
"What are file permissions?",low
"What is a user account?",low
"What is a group in operating systems?",low
"What is a root user?",low
"What is sudo?",low
"What is a package manager?",low
"What is a dependency in software?",low
"What is a build system?",low
"What is a makefile?",low
"What is a shared library?",low
"What is a static library?",low
"What is the difference between a shared and a static library?",low
"What is dynamic linking?",low
"What is static linking?",low
"What is a call stack?",low
"What is a stack overflow?",low
"What is a heap overflow?",low
"What is a buffer overflow?",low
"What is a segmentation fault?",low
"What is a core dump?",low
s"What is a race condition in multithreading?",low
"What is a critical section?",low
"What is a thread-safe function?",low
"What is an atomic operation?",low
"What is a lock-free data structure?",low
"What is a future or promise in concurrent programming?",low
"What is an async/await pattern?",low
"What is an event-driven architecture?",low
"What is a publisher-subscriber pattern?",low
"What is an observer pattern?",low
"What is a model-view-controller (MVC) architecture?",low
"What is a model-view-viewmodel (MVVM) architecture?",low
"What is a three-tier architecture?",low
"What is an n-tier architecture?",low
"What is domain-driven design (DDD)?",low
"What is a bounded context in DDD?",low
"What is an aggregate in DDD?",low
"What is a repository pattern?",low
"What is a service layer?",low
"What is a data access object (DAO)?",low
"What is an object-relational mapping (ORM)?",low
"What is a query builder?",low
"What is a database migration?",low
"What is a schema?",low
"What is a data dictionary?",low
"What is metadata?",low
"What is a character set?",low
"What is a collation?",low
"What is a transaction log?",low
"What is a checkpoint in a database?",low
"What is database replication?",low
"What is a master-slave replication?",low
"What is a master-master replication?",low
"What is a database cluster?",low
"What is high availability?",low
"What is fault tolerance?",low
"What is disaster recovery?",low
"What is a backup?",low
"What is a restore?",low
"What is a point-in-time recovery?",low
"What is a hot backup?",low
"What is a cold backup?",low
"What is a differential backup?",low
"What is an incremental backup?",low
"What is a full backup?",low
"What is a virtual private network (VPN)?",low
"What is a proxy?",low
"What is a reverse proxy?",low
"What is a firewall rule?",low
"What is an intrusion detection system (IDS)?",low
"What is an intrusion prevention system (IPS)?",low
"What is a security policy?",low
"What is a security audit?",low
"What is a penetration test?",low
"What is a vulnerability assessment?",low
"What is a security token?",low
"What is a digital certificate?",low
"What is a certificate authority (CA)?",low
"What is a public key infrastructure (PKI)?",low
"What is SSL/TLS?",low
"What is a handshake in SSL/TLS?",low
"What is a cipher suite?",low
"What is a digital signature?",low
"What is a message authentication code (MAC)?",low
"What is a cryptographic hash function?",low
"What are the properties of a cryptographic hash function?",low
"What is a collision in a hash function?",low
"What is a salt in cryptography?",low
"What is key stretching?",low
"What is a key exchange algorithm?",low
s"What is Diffie-Hellman key exchange?",low
"What is RSA algorithm?",low
"What is AES algorithm?",low
"What is a block cipher?",low
"What is a stream cipher?",low
"What is a cipher mode of operation?",low
"What is a brute-force attack?",low
"What is a dictionary attack?",low
"What is a rainbow table attack?",low
"What is a phishing attack?",low
"What is a spear phishing attack?",low
"What is a whaling attack?",low
"What is a malware?",low
"What is a virus?",low
"What is a worm?",low
"What is a trojan horse?",low
"What is a spyware?",low
"What is an adware?",low
"What is a ransomware?",low
"What is a rootkit?",low
"What is a botnet?",low
"What is a keylogger?",low
"What is a zero-day vulnerability?",low
"What is a patch?",low
"What is patch management?",low
"What is a security advisory?",low
"What is a CVE (Common Vulnerabilities and Exposures)?",low
"What is a CVSS (Common Vulnerability Scoring System)?",low
"What is OWASP?",low
"What are the OWASP Top 10?",low
"What is a web application firewall (WAF)?",low
"What is a security information and event management (SIEM) system?",low
"What is a log file?",low
"What is log analysis?",low
"What is a correlation rule in SIEM?",low
"What is an incident response plan?",low
"What is a forensics analysis?",low
"What is a chain of custody?",low
"What is a sandbox environment?",low
"What is a honeypot?",low
"What is threat intelligence?",low
"What is an indicator of compromise (IOC)?",low
"What is an indicator of attack (IOA)?",low
"What is a threat actor?",low
"What is a threat vector?",low
s"What is an attack surface?",low
"What is a security hardening?",low
"What is the principle of least privilege?",low
"What is defense in depth?",low
"What is a security control?",low
"What is a preventative control?",low
"What is a detective control?",low
"What is a corrective control?",low
"What is a risk assessment?",low
"What is a risk management?",low
"What is a business continuity plan (BCP)?",low
"What is a disaster recovery plan (DRP)?",low
"What is a service level agreement (SLA)?",low
"What is a key performance indicator (KPI)?",low
"What is a software requirement specification (SRS)?",low
"What is a use case?",low
"What is a UML diagram?",low
"What is a class diagram?",low
"What is a sequence diagram?",low
"What is an activity diagram?",low
"What is a state diagram?",low
"What is a component diagram?",low
"What is a deployment diagram?",low
"What is a data flow diagram (DFD)?",low
"What is an entity-relationship diagram (ERD)?",low
"What is a flowchart?",low
"What is a wireframe?",low
"What is a mockup?",low
"What is a prototype?",low
"What is user experience (UX)?",low
"What is user interface (UI)?",low
"What is accessibility (a11y)?",low
"What is internationalization (i18n)?",low
"What is localization (l10n)?",low
"What is a character set encoding?",low
"What is a code review?",low
"What is pair programming?",low
"What is refactoring?",low
"What is technical debt?",low
"What is a code smell?",low
"What is the DRY principle?",low
"What is the KISS principle?",low
"What is the YAGNI principle?",low
"What are the SOLID principles?",low
"What is the Single Responsibility Principle?",low
"What is the Open/Closed Principle?",low
"What is the Liskov Substitution Principle?",low
"What is the Interface Segregation Principle?",low
"What is the Dependency Inversion Principle?",low
"What is a software license?",low
"What is open-source software?",low
"What is free software?",low
"What is a proprietary software?",low
"What is a copyleft license?",low
"What is a permissive license?",low
"What is the GPL license?",low
"What is the MIT license?",low
"What is the Apache license?",low
"What is a patent?",low
"What is a copyright?",low
"What is a trademark?",low
"What is intellectual property?",low
"What is a non-disclosure agreement (NDA)?",low
"What is a statement of work (SOW)?",low
"What is a request for proposal (RFP)?",low
"What is a proof of concept (POC)?",low
"What is a minimum viable product (MVP)?",low
"What is a feature flag or feature toggle?",low
"What is A/B testing?",low
"What is canary releasing?",low
"What is blue-green deployment?",low
"What is a rollback?",low
"What is uptime?",low
"What is downtime?",low
"What is latency?",low
"What is throughput?",low
"What is bandwidth?",low
"What is a protocol?",low
"What is a standard?",low
"What is an RFC (Request for Comments)?",low
"What is the IETF (Internet Engineering Task Force)?",low
"What is the W3C (World Wide Web Consortium)?",low
"What is ECMA International?",low
"What is the OSI model?",low
"What are the seven layers of the OSI model?",low
"What is the application layer?",low
"What is the presentation layer?",low
"What is the session layer?",low
"What is the transport layer?",low
"What is the network layer?",low
"What is the data link layer?",low
"What is the physical layer?",low
"What is a finite state machine?",low
"What is a Turing machine?",low
"What is computational complexity theory?",low
"What is the P versus NP problem?",low
"What is a deterministic algorithm?",low
"What is a non-deterministic algorithm?",low
"What is a probabilistic algorithm?",low
"What is a quantum computer?",low
"What is a qubit?",low
"What is quantum entanglement?",low
"What is quantum superposition?",low
"What is a quantum algorithm?",low
"What is Shor's algorithm?",low
"What is Grover's algorithm?",low
"What is a blockchain?",low
"What is a cryptocurrency?",low
"What is Bitcoin?",low
"What is Ethereum?",low
"What is a smart contract?",low
"What is a distributed ledger?",low
"What is a consensus algorithm?",low
"What is proof-of-work?",low
"What is proof-of-stake?",low
"What is a hash rate?",low
"What is a block in a blockchain?",low
"What is a transaction in a blockchain?",low
"What is a wallet in cryptocurrency?",low
"What is a private key?",low
"What is a public key?",low
"What is a seed phrase?",low
"What is a fork in blockchain?",low
"What is a hard fork?",low
"What is a soft fork?",low
"What is a decentralized application (dApp)?",low
"What is a decentralized autonomous organization (DAO)?",low
"What is Web3?",low
"What is the metaverse?",low
"What is virtual reality (VR)?",low
"What is augmented reality (AR)?",low
"What is mixed reality (MR)?",low
"What is the Internet of Things (IoT)?",low
"What is an embedded system?",low
"What is a real-time operating system (RTOS)?",low
"What is firmware?",low
"What is a driver?",low
"What is a BIOS?",low
"What is UEFI?",low
"What is a bootloader?",low
"What is an interrupt?",low
"What is a polling loop?",low
"What is a watchdog timer?",low
"What is a digital signal processor (DSP)?",low
"What is a field-programmable gate array (FPGA)?",low
"What is an application-specific integrated circuit (ASIC)?",low
"What is a system on a chip (SoC)?",low
"What is a microcontroller?",low
"What is a microprocessor?",low
"What is an instruction set architecture (ISA)?",low
"What is RISC?",low
"What is CISC?",low
"What is a pipeline in a CPU?",low
"What is a cache in a CPU?",low
"What are the levels of CPU cache?",low
"What is a cache hit?",low
"What is a cache miss?",low
"What is a branch predictor?",low
"What is speculative execution?",low
"What is hyper-threading?",low
"What is a GPU?",low
"What is a CUDA core?",low
"What is a shader?",low
"What is a vertex shader?",low
"What is a pixel shader?",low
"What is a rendering pipeline?",low
"What is rasterization?",low
"What is ray tracing?",low
"What is a texture map?",low
"What is a bump map?",low
"What is a normal map?",low
"What is anti-aliasing?",low
"What is a frame rate?",low
"What is a refresh rate?",low
"What is VSync?",low
"What is a game engine?",low
"What is a physics engine?",low
"What is a scene graph?",low
"What is a collision detection?",low
"What is a game loop?",low
"What is an entity-component-system (ECS) architecture?",low
"What is a shader language (like GLSL or HLSL)?",low
"What is OpenGL?",low
"What is DirectX?",low
"What is Vulkan?",low
"What is Metal?",low
"What is WebGL?",low
"What is a graphics API?",low
"What is a sound engine?",low
"What is 3D audio?",low
"What is a MIDI file?",low
"What is a WAV file?",low
"What is an MP3 file?",low
"What is a codec?",low
"What is a container format?",low
"What is streaming?",low
"What is a buffer?",low
"What is a double buffer?",low
"What is a circular buffer?",low
"What is a ring buffer?",low
"What is a FIFO buffer?",low
"What is a LIFO buffer?",low
"What is a memory management unit (MMU)?",low
"What is a page table?",low
"What is a translation lookaside buffer (TLB)?",low
"What is a page fault?",low
"What is swapping?",low
"What is thrashing?",low
"What is a working set?",low
"What is a memory-mapped file?",low
"What is inter-process communication (IPC)?",low
"What is a shared memory?",low
"What is a message passing?",low
"What is a pipe?",low
"What is a named pipe?",low
"What is a socket pair?",low
"What is a remote procedure call (RPC)?",low
"What is a stub in RPC?",low
"What is marshalling?",low
"What is unmarshalling?",low
"What is a network socket?",low
"What is a stream socket?",low
"What is a datagram socket?",low
"What is a raw socket?",low
"What is a loopback device?",low
"What is a network interface controller (NIC)?",low
"What is a device driver?",low
"What is a kernel module?",low
"What is a system log?",low
"What is a crash log?",low
"What is a stack trace?",low
"What is a profiler?",low
"What is a code coverage tool?",low
"What is a static analysis tool?",low
"What is a dynamic analysis tool?",low
"What is a fuzzer?",low
"What is a debugger?",low
"What is a disassembler?",low
"What is a decompiler?",low
"What is reverse engineering?",low
"What is a software bug?",low
"What is a regression bug?",low
s"What is a security bug?",low
"What is a logic bug?",low
"What is a syntax error?",low
"What is a runtime error?",low
"What is a logical error?",low
"What is a floating point error?",low
"What is an off-by-one error?",low
"What is a memory error?",low
"What is a concurrency error?",low
"What is a performance bug?",low
"What is a usability bug?",low
"What is a compatibility bug?",low
"What is a bug report?",low
"What is a bug tracking system?",low
"What is a test case?",low
"What is a test plan?",low
"What is a test suite?",low
"What is a test script?",low
"What is a test environment?",low
"What is a test data?",low
"What is a test harness?",low
"What is a test stub?",low
"What is a test mock?",low
"What is a test driver?",low
"What is a test oracle?",low
"What is a test coverage?",low
"What is a statement coverage?",low
"What is a branch coverage?",low
"What is a path coverage?",low
"What is a mutation testing?",low
"What is a regression testing?",low
"What is a smoke testing?",low
"What is a sanity testing?",low
"What is a functional testing?",low
"What is a non-functional testing?",low
"What is a performance testing?",low
"What is a load testing?",low
"What is a stress testing?",low
"What is a soak testing?",low
"What is a spike testing?",low
"What is a volume testing?",low
"What is a scalability testing?",low
"What is a reliability testing?",low
"What is a usability testing?",low
"What is an accessibility testing?",low
"What is a security testing?",low
"What is a penetration testing?",low
"What is a vulnerability scanning?",low
"What is a code audit?",low
"What is a static code analysis?",low
"What is a dynamic code analysis?",low
"What is a formal verification?",low
"What is a model checking?",low
"What is a theorem proving?",low
"What is a software metric?",low
"What is a cyclomatic complexity?",low
"What is a Halstead complexity measure?",low
"What is a lines of code (LOC)?",low
"What is a function point?",low
"What is a COCOMO model?",low
"What is a software estimation?",low
"What is a project management?",low
"What is a project plan?",low
"What is a Gantt chart?",low
"What is a PERT chart?",low
"What is a critical path method?",low
"What is a work breakdown structure (WBS)?",low
"What is a milestone?",low
"What is a deliverable?",low
"What is a scope?",low
"What is a scope creep?",low
"What is a risk management?",low
"What is a risk register?",low
"What is a stakeholder?",low
"What is a project charter?",low
"What is a project kickoff meeting?",low
"What is a status report?",low
"What is a post-mortem meeting?",low
"What is a lessons learned document?",low
"What is a change management?",low
"What is a configuration management?",low
s"What is a version control system?",low
"What is a source code management (SCM)?",low
"What is a centralized version control system?",low
"What is a distributed version control system?",low
"What is the difference between CVCS and DVCS?",low
"What is a commit?",low
"What is a checkout?",low
"What is a merge?",low
"What is a conflict?",low
"What is a branch?",low
"What is a tag?",low
"What is a repository?",low
"What is a working copy?",low
"What is a trunk or main branch?",low
"What is a feature branch?",low
"What is a release branch?",low
"What is a hotfix branch?",low
"What is a branching strategy?",low
"What is Gitflow?",low
"What is GitHub Flow?",low
"What is GitLab Flow?",low
"What is a trunk-based development?",low
"What is a code review workflow?",low
"What is a pull request workflow?",low
"What is a forking workflow?",low
"What is a continuous integration server?",low
"What is a build server?",low
"What is a build pipeline?",low
"What is a build artifact?",low
"What is a deployment pipeline?",low
"What is a release pipeline?",low
"What is an environment?",low
"What is a development environment?",low
"What is a testing environment?",low
"What is a staging environment?",low
"What is a production environment?",low
"What is a blue-green deployment strategy?",low
"What is a canary deployment strategy?",low
"What is a rolling deployment strategy?",low
"What is an infrastructure as code (IaC)?",low
"What is a configuration management tool?",low
"What is Ansible?",low
"What is Puppet?",low
"What is Chef?",low
"What is SaltStack?",low
"What is Terraform?",low
"What is CloudFormation?",low
"What is a virtual machine image?",low
"What is a container image?",low
"What is a Dockerfile?",low
"What is a Docker Hub?",low
"What is a container registry?",low
"What is Kubernetes?",low
"What is a pod in Kubernetes?",low
"What is a service in Kubernetes?",low
"What is a deployment in Kubernetes?",low
"What is a replica set in Kubernetes?",low
"What is a namespace in Kubernetes?",low
"What is a config map in Kubernetes?",low
"What is a secret in Kubernetes?",low
"What is an ingress in Kubernetes?",low
"What is a Helm chart?",low
"What is a service mesh?",low
"What is Istio?",low
"What is Linkerd?",low
"What is a monitoring system?",low
"What is a logging system?",low
"What is a tracing system?",low
"What is observability?",low
"What is Prometheus?",low
"What is Grafana?",low
"What is the ELK stack?",low
"What is Elasticsearch?",low
"What is Logstash?",low
"What is Kibana?",low
"What is Fluentd?",low
"What is Jaeger?",low
"What is Zipkin?",low
"What is OpenTelemetry?",low
"What is an alert?",low
"What is an on-call rotation?",low
"What is an incident?",low
"What is an incident management?",low
"What is a post-incident review?",low
"What is a root cause analysis (RCA)?",low
"What is a service level objective (SLO)?",low
"What is a service level indicator (SLI)?",low
"What is an error budget?",low
"What is site reliability engineering (SRE)?",low
"What is a chaos engineering?",low
"What is a game day exercise?",low
"What is a feature?",low
"What is a requirement?",low
"What is a functional requirement?",low

"What is a non-functional requirement?",low
"What is a user requirement?",low
"What is a system requirement?",low
"What is a business requirement?",low
"What is a stakeholder requirement?",low
"What is a quality attribute?",low
"What is performance?",low
"What is reliability?",low
"What is availability?",low
"What is security?",low
"What is usability?",low
"What is maintainability?",low
"What is portability?",low
"What is interoperability?",low
"What is scalability?",low
"What is extensibility?",low
"What is reusability?",low
"What is testability?",low
"What is a trade-off?",low
"What is a constraint?",low
"What is an assumption?",low
"What is a risk?",low
"What is a mitigation?",low
"What is a dependency?",low
"What is an interface?",low
"What is a protocol?",low
"What is a standard?",low
"What is a specification?",low
"What is a documentation?",low
"What is a user manual?",low
"What is a developer guide?",low
"What is an API documentation?",low
"What is a code comment?",low
"What is a self-documenting code?",low
"What is a literate programming?",low
"What is a software architecture?",low
"What is a system architecture?",low
"What is an enterprise architecture?",low
"What is a solution architecture?",low
"What is a technical architecture?",low
"What is an architectural pattern?",low
"What is an architectural style?",low
"What is a layered architecture?",low
"What is a client-server architecture?",low
"What is a peer-to-peer architecture?",low
"What is a pipe-and-filter architecture?",low
"What is a blackboard architecture?",low
"What is a broker architecture?",low
"What is an event-bus architecture?",low
"What is a microkernel architecture?",low
"What is a service-oriented architecture (SOA)?",low
"What is a component-based architecture?",low
"What is an object-oriented architecture?",low
"What is a functional architecture?",low
"What is a data-centric architecture?",low
"What is a data-flow architecture?",low
"What is a call-and-return architecture?",low
"What is a code-on-demand architecture?",low
"What is a uniform interface?",low
"What is a stateless protocol?",low
"What is a cacheable response?",low
"What is a layered system?",low
"What is a client-stateless-server architecture?",low
"What is a representational state transfer (REST)?",low
"What is a simple object access protocol (SOAP)?",low
"What is a GraphQL?",low
"What is a gRPC?",low
"What is a WebSocket?",low
