,Unnamed: 0,question,label
208,208,Apache Mahout + Pearson Correlation Ignores Users With Same Preference For Every Item,high
209,209,Converting an Excel file with special characters to a CSV with these preserved,low
210,210,Java client aborts on SNI unrecognized_name warning,high
211,211,Error with Facebook PHP SDK Example,low
212,212,Error when installing atlassian plugin SDK,low
213,213,Cufon: changing font-weight on hover,low
214,214,How to get the average of grades in mysql,low
215,215,Open application/hal+json response inline in browser instead of downloading it,low
216,216,generating Another thread in Python,low
217,217,How to set Environment variables from within package.json [Node.js],low
218,218,JPA - getting distinct value from one column,low
219,219,laravel Call to undefined function,low
220,220,UICollectionView Repeats and Reorders Cell Content When Refreshed,high
221,221,compile error in pointer return,low
222,222,Hadoop Cassandra job not reading all input rows,high
223,223,string padding for evenly adjusted columns,low
224,224,How to detect that my appid is already running on a given chromecast device?,low
225,225,Passing Php Variable to another variable using ajax?,low
226,226,Sparse Matrix multiplication like (maxmin) in C++ using Octave libraries,high
227,227,"jQuery aToolTip plugin only works on the title of links, how do I get it to work with titles on images, fields and spans too?",low
228,228,Why is fetch() sending an empty body?,low
229,229,issue opening thickbox from inside an existing iframe,low
230,230,Angular 2 Web Pack 404 Html Template Urls,low
231,231,how to test regex in javascript in if statement,low
232,232,Express SSL redirect not working for root /,low
233,233,PHP calculate a date based on function for working days,low
234,234,How do I make an IOS app *require* DNSSec?,high
235,235,Using scrollTo to move along the x axis,low
236,236,ModalView Over SplitView with transition,high
237,237,Simple server/client chat,high
238,238,Are both queries the same?,low
239,239,Uploading an image with Retrofit 2,low
240,240,Ember identifying current user,low
241,241,Recursively Filter directory of .cap/.pcap Files With tshark,low
242,242,UWP: WACK test failing on Windows Runtime metadata validation,high
243,243,Remembering Authorization,low
244,244,Resetting plugins due to page load is very slow,low
245,245,Android SDK Manager not working; tried other fixes,low
246,246,Table not modified since date,low
247,247,Hex character in BEGIN block,low
248,248,AsyncTask doInBackground method - parameter error,low
249,249,Parse all integers from string in Objective-C,low
250,250,Update TortoiseSVN on Windows,low
251,251,UIMenu buttons disappear after usage,high
252,252,How to make a pointer to a varible inside nested structs in C?,low
253,253,Pig AvroStorage + Unsupported type in record:class org.apache.pig.data.DataByteArray,low
254,254,How to create responsive background images similar to medium.com,low
255,255,How do I extract the following patterns in java,low
256,256,Time calculation past midnight,low
257,257,Unit Testing: Maven or Eclipse?,low
258,258,Move the UIView up when the TextField is pressed,low
259,259,Can't load script when using wp_enqueue_script,low
260,260,self executing function assigned to a variable,low
261,261,How to force DUB to use gdc over dmd?,low
262,262,searchkick sub aggregations,low
263,263,Empty Errors in Eclipse Problems View,low
264,264,What are the differences between frame attributes box and border in html tables,low
265,265,Cast to Implemented Class,low
266,266,BFS with Constant Amount of Memory,high
267,267,iOS 5.1 and Default.png,low
268,268,Rails storing form data,low
269,269,Differences passing Redux state through passProps with Navigator or binding state within Container,high
270,270,How to add two cursor values and UPDATE the table,low
271,271,override Home key in android ICS,low
272,272,Bootstrap Navbar does not hide li elements when collapsed,low
273,273,Ansi C linked List what am i doing wrong?,low
274,274,How to attach a list box to a button onclick,low
275,275,ASP VB Change cell colour of column in GridView based on value in another column,low
276,276,Animating popup display,low
277,277,SQL getdate issue with month,low
278,278,How to add dom pdf generated pdf file to ZipArchive using PHP,low
279,279,subset of dataset using first and last in sas,low
280,280,How to print Fastreport directly without showing Print Dialog,low
281,281,How to track scope variable changing in AngularJS,low
282,282,Use !important Keyword In Sass Maps,low
283,283,Unable to simultaneously satisfy constraints - while adding subview,high
284,284,Updating variables in addcontentview - android,low
285,285,NSMenuItem's value binding with BOOL,low
286,286,sitecore 301 redirect iis 7,low
287,287,Is it possible to revalidate a expired access token without using any facebook sdk?,low
288,288,SkeletonStream NullReferenceException was unhandled,low
289,289,"""_OBJC_CLASS_$_SBJsonParser"", referenced from: objc-class-ref in YFStockSymbolSearch.o",low
290,290,"Find x,y axis of element in reportlab",low
291,291,Trying to use pkg-config but it not being a registered command,low
292,292,For Loop C#-- Adding,low
293,293,No package identifier when getting name for resource number 0x00000001,low
294,294,Can't get LogCat (Alcatel OneTouch Evolve),low
295,295,PHP echo value from JSON into Javascript code gives error,low
296,296,Please help modify this regular expression,low
297,297,Sass dynamic colors with PHP,low
298,298,R - Losing column heading with read.zoo (read.csv is fine),low
299,299,What is the Best way to kill database Routine(repeated) work in php,low
300,300,JSON Data Storage,low
301,301,how to update notification count in android icon for FCM received notifications,low
302,302,"Laravel 4, how to access reverse one-to-many relation?",low
303,303,Creating multiple events in office365 rest api,low
304,304,Java replacing an Icon Image after X time passes,low
305,305,Redis: Return all values stored in a database,low
306,306,How do I distribute a Scala macro as a project?,low
307,307,Zipkin is not nesting parent trace to its child,low
308,308,Selenium Webdriver hover not working,low
309,309,Total SUM in SSRS doesnt display corrent number,low
310,310,Query on two DataTable to find duplicate rows,low
311,311,Redefining index values in Pandas DataFrame,low
312,312,How do I record all memory accesses of a process/file?,low
313,313,SQL Query optimizing without WHERE clause,low
314,314,How to generate a star Triangle pattern using Java,low
315,315,Jinternalframe with own Jbuttons not functioning,low
316,316,Is there a correct way to spot non-fatal errors in js?,low
317,317,Send SOAP with Groovy or Java,low
318,318,fooTable pagination not working with laravel/angular api data,low
319,319,Accessing Authorization Header,low
320,320,Add animation on progress bar android,low
321,321,How to avoid conflicts with other programs using shared memory and semaphore,high
322,322,apacheant mail task and STARTTLS,low
323,323,XPath - verify contents of @title,low
324,324,How can I use c# to set printersettings?,low
325,325,Different XML in mobile,low
326,326,ffmpeg - how to set histogram size?,low
327,327,UDP load balancer using Netty,high
328,328,Google API - order results by distance,low
329,329,How do I remove a class from another element with using angularjs and without using jquery,low
330,330,How to add new online ressources to RAD Studio help system,low
331,331,Using unique_ptr instead of shared_ptr in BST,low
332,332,[i18n]Load Resource Bundle out of classpath,low
333,333,Post create a post with multiple photos Facebook,low
334,334,Replacing xml Text,low
335,335,Getting database information to another class in Android,low
336,336,PHP/MySQL script won't let user visit more than once in an alotted time,low
337,337,Integrating aweber In codeignter,low
338,338,SQLAlchemy - Query show results where records exist in both table,low
339,339,C++ Return Performace,low
340,340,EOF twice in an ASP File not working,low
341,341,File.Open used with FileShare.ReadWrite and still get error,low
342,342,Printing long image from photoshop,low
343,343,Program to do fork exec while touching large memory regions,high
344,344,What is a difference between pyWorkPage and pyWorkCover page in Pega?,low
345,345,save checkbox values with pdo in mysql db,low
346,346,Is there an advantage to use a Synchronized Method instead of a Synchronized Block?,low
347,347,Django OneToField reference to default 'id' instead of actual primary key,low
348,348,icacls Deny Everyone Directory Delete Permission,low
349,349,What are different ways to sort an encrypted column?,high
350,350,Mysql Table Indexing in PHP,low
351,351,Rendering custom indoor maps,high
352,352,Button in WPF acting in strange way with isMouseOver,low
353,353,Bootstrap nabber; change the layout so it looks like tabs?,low
354,354,Arcs/vertices to MultiPolygon,high
355,355,Rounding Datetime to nearest 15 minutes in SQL Server,low
356,356,Echo drop down list in a PHP Form,low
357,357,How to read files on client local disk from server side code (JSP or Servlet),low
358,358,Messy mouse events in chrome,low
359,359,InnoDB database tables taking 51 seconds,high
360,360,Update models at runtime using mvvm,high
361,361,jfugue - Volume in JFugue is very low,low
362,362,how to bind json string to Tree view control in ASP.NET c#,low
363,363,Getting Promise's and yield's to work together,low
364,364,Golang Gorilla/session,low
365,365,sample code about esper engine,low
366,366,Footer not staying at the bottom of page,low
367,367,are destructors necessary in C#?,low
368,368,xibs displayed incorrectly after iOS 7.1 update,low
369,369,facebook Graph API error 200 : App Does not have a permission to post to target,low
370,370,IntelliJ IDEA hint parameters of method,low
371,371,Are there any UML reference card available?,low
372,372,Not seeing EditNameDialogListener interface,low
373,373,.htaccess URL Redirecting giving 500 Internal Server Error,low
374,374,Inconsistent animation for UITableView contentInset,low
375,375,iOS 8 Embedded YouTube in HTML web app fails,low
376,376,Group radio buttons without list,high
377,377,Use aggregation to match for documents element,low
378,378,Horizontal bar in dreamweaver not working,low
379,379,Xcode / iOS: How to determine whether code is running in DEBUG / RELEASE build?,low
380,380,What is the most common way to do authentication in rails 3?,low
381,381,"query ""...WHERE $string""... $string='b5KlL4znM ' but query returns empty unless ""...WHERE 'b5KlL4znM ' """,low
382,382,Trying to create MySQL command where it selects one column and searches two other rows,low
383,383,How to create views dynamically from json in android listview?,low
384,384,how to solve SOAP services issue with portable class library?,low
385,385,ruby request.query_string,low
386,386,"loading keystore file, no alias found",low
387,387,Can you alter an ES6 class definition to attach new instance methods?,low
388,388,Python Command Line Arguments (Windows),low
389,389,"Using rails tagged logging, how can I log the log level of a message?",low
390,390,Need to transfer from one domain to another domain,low
391,391,"What cipher suites come with Java jdk1.7.0_03, and / or how do I provision my RMI installation with them?",low
392,392,How to set a default value in selectOneMenu ? JSF or Primefaces,low
393,393,Deleting content in multiple sheets - Excel VBA,low
394,394,django signals module object has no attribute connect,low
395,395,Error with gradle and vaadin build failure in eclipse but works fine with terminal,low
396,396,"invalid byte sequence for encoding ""UTF8"": 0xed 0xa0 0xbd",low
397,397,Can't Create New Thread Using Method Call,low
398,398,Rails text_field_tag id attribute,low
399,399,Revert Git branch back to master to re-merge topic branches,low
400,400,place icons on image and zoom,low
401,401,how to pass parameter in wpf control constructor?,low
402,402,SQL Server Instance ID,low
403,403,"in P8Test class why am i not able to store (scn.nextLine()).split("","") in String[] object data",low
404,404,Fast way to get an 2d array with some columns and in a certain order from an original matrix,low
405,405,page not found on jsp submission,low
406,406,Accessing nested urls when using for loop to generate the list items on feed tab,low
407,407,INSERT INTO command doesn't work,low
408,408,How to install python packages in virtual environment only with virtualenv bootstrap script?,low
409,409,Create a `data-win-control` in JavaScript,low
410,410,Can not show map when use google map api v2?,low
411,411,"Memory leak with UIImage method ""drawInRect""",low
412,412,How to extract a ZIP file from a HTTP resource with node.js,low
413,413,"How do I get a realtime list of all seminars in a given room, filtered by time period, via Adobe Connect's API?",low
414,414,ReactJS.net - How do I use ES6 modules,low
415,415,Adding touchListener to path object,low
416,416,Redirect loop caused by django middleware,low
417,417,Using different mysql users within same class while maintaining same connection?,low
418,418,cassandra Converts UUID to Year month date,low
419,419,"In PlayN, is there a cross-platform method for formatting decimals?",low
420,420,How to create an appointment using C# VSTO and display the Schedule Assistant view,high
421,421,CorePlot and Parse compatibility?,low
422,422,Error connecting to online fossil repository after changing password,low
423,423,where can i download android actual images such as the info symbol?,low
424,424,Code / Test coverage tool for cocoapods?,low
425,425,What're AsyncCallback and AsyncState for in Async WCF`?,low
426,426,How can I determine the version of Microsoft.Office.Interop.Excel on a client computer?,low
427,427,How can I prevent the repetition of the words I'm looking for regardless of their order?,low
428,428,Best method to map texture on sphere with LOD,high
429,429,"C++ Nice ""name"" for own function",low
430,430,"Having trouble running ""mate .rspec""",low
431,431,Publish SBT project to local directory,low
432,432,use object in foreach multiple times,low
433,433,New ASP.NET 5 preview project fails to run,low
434,434,bash remove subdirectories based on age but keep last X,low
435,435,(dojo) dojox.form.Manager not firing observers,low
436,436,Macros to run in all workbooks,low
437,437,Android. How can I test a method which uses an Intent over the activity Context,low
438,438,Python Port Listener,low
439,439,How do chains work in Rainbow tables?,low
440,440,"Batch rename file extensions, including subdirectories",low
441,441,How to make Vector CANOE recognise the STM8 board connected via the interface?,high
442,442,Autoit - Move If specific pixels found,low
443,443,Getting UserControl to draw under html div,low
444,444,Connect to a symbian mobile from a vb.net project,low
445,445,Borders not showing in CSS,low
446,446,"How to install & setup Node.js , NPM on Amazon Linux EC2",low
447,447,ajax:success and ajax:complete callback doesn't work when using UJS in Rails,low
448,448,Why is retrieving data from Elasticsearch so much faster than from PostgreSQL?,low
449,449,wordpress widget overlaying text,low
450,450,Install bootstrap v4-dev branch using jspm,low
451,451,Issue deploying Spring Security SAML extension on Weblogic 12c,high
452,452,WCF Web Service Windows Form Interaction,high
453,453,Session Locking After Update to PHP 7,low
454,454,"How to set the hash for each ""page"" manually",low
455,455,How to match any text except one word,low
456,456,Building a dynamic query of a many-to-many relationship in Laravel 5,low
457,457,Spliting the HBase table after presplliting it,low
458,458,"Cannot Get the Bin Location Counts, Is giving me the count of how many of the item there is",low
459,459,Using a JavaScript file to inject HTML into a page,low
460,460,Mac app with unity3d,high
461,461,"OS X cmake linking stdlibc++, mongodb c++ driver issue",high
462,462,Add multiple custom UIViewControllers to UIPageViewController,low
463,463,How to structure projects when multiple applications use the same database,low
464,464,Slide all views up/down as statusBar is hidden/shown,low
465,465,JavaScript to reload page if it is in bfcache,low
466,466,Redirect std::function() callable to custom handler in pre C++11?,low
467,467,MPMoviePlayerController not working properly,low
468,468,illegal start of expression error and difficulty compiling,low
469,469,"In Oracle SQL, how to get the time for only this current week?",low
470,470,How does a Windows non-native user interface work?,low
471,471,Gantt over time with summed bar,high
472,472,how to extract cookies using regexp?,low
473,473,Hide Toast from included libbrary,low
474,474,Why not run a server side app with daylight saving time enabled?,low
475,475,How to present a Selenium test written in spec or PHPUnit on Hudson,low
476,476,Get unique count by matchin partial string in logs,low
477,477,Error occuring when trying to upload file via FTP using Qt,low
478,478,No LoginModules configured for DefaultPrincipalMapping WAS Libert y profile 8.5.5.9,low
479,479,Natural language dates in ruby/rails?,low
480,480,Wordpress Menu Hover CSS,low
481,481,resize image using css,low
482,482,Optimize way to use ViewPager?,low
483,483,Dismiss actionSheet before action under it's button is completed,low
484,484,Can't detect every type of object in Winforms controls,low
485,485,"Implementing operator< for x,y,z coordinate",low
486,486,Why some programmers like to add final keyword in the method params?,low
487,487,Spring Security + CXF Rest,high
488,488,How can I have multiple PC's on a network interact with an application simultaneously?,high
489,489,How to make multiple files on an internal storage,low
490,490,How to pass parameters to overridden scripts with sbt-native-packager?,low
491,491,xpath - condition expression,low
492,492,"Confused with mysql statement, three tables",low
493,493,Route Middleware validation,low
494,494,Odoo Uncaught Error: NameError: name '' is not defined error,low
495,495,How to let jquery ajax async after knowing server is processing the request ?,low
496,496,How can i hide the location and status bar in Mozilla firefox in javascript,low
497,497,Clustring in openlayers3,low
498,498,Check if website has cache enabled or not from HTTP Headers,low
499,499,How to change color of an item in my ComboBoxList,low
500,500,Acumatica - Creating customer payment method with api,low
501,501,Web2Py Resizing a textbox,low
502,502,How do I use an IF statement in PHP to decide if I should show an image or not?,low
503,503,Need some explanations on this Delphi code,low
504,504,Cannot access the portable area controllers from webforms solution,low
505,505,GLEW libraries seems to have issues when linking,low
506,506,How to improve the copy speed from D3D surface back to system memory,low
507,507,imacros take from multi files in DATASOURCE loop,low
508,508,RSpec tests disappeared,low
509,509,Symfony/Doctrine remove query in a loop,low
510,510,How should we implement utility/helper modules in C++?,low
511,511,Querying redis data,low
512,512,Replicating data between Postgres DBs,high
513,513,Cocoa - Present NSViewController programmatically,low
514,514,does maven supports any IDE except from eclipse?,low
515,515,jquery mobile multipage dropdown not displaying selected value,low
516,516,SED replacing with 'possible' newline,low
517,517,jQuery animate menu active icon,low
518,518,MVC 5.2 Startup class cannot resolve IServiceCollection or MvcOptions,high
519,519,How can I get the sum of a column ?,low
520,520,Canvas Wheel of fortune- stop at specific spot,low
521,521,Debranding Odoo backend on AWS platform,high
522,522,Shiny app with leaflet: uiOutput not showing up until goButton is pressed,low
523,523,Can't set clock using SetSystemTime on Windows 8,low
524,524,Is it possible to make a multine textbox in a Silverlight 4 DataForm?,low
525,525,Why are my Orchard CMS widgets not populating the Id property when I export them through with Import/Export module?,low
526,526,How to set a system Font in android,low
527,527,Is there a command line method to get a jvm heap dump besides jmap?,low
528,528,Wake device from BroadcastReciever,low
529,529,Create an SSH tunnel on the server that needs to access the remote application port,low
530,530,Deep linking in JavaFX,low
531,531,Remove double space in phpmyadmin,low
532,532,secure url not working with nginx+node,low
533,533,In some cases title is not shown,low
534,534,Flot chart inside jqueryui tab,low
535,535,How to integrate atk4 login with existing PHP app,low
536,536,Harvest Chosen jQuery plugin displaying previously selected and saved data,low
537,537,MySQL InnoDB Error 1114 Table is full when importing dump,low
538,538,Stringify array with Objects,low
539,539,Implementing advanced search in sharepoint 2007 wss,low
540,540,"master failed to start, check stderr log for details",low
541,541,Listbox default image,low
542,542,how to get a action from one point to another point?,low
543,543,Installing SSMS 2014 giving error of DLL required,low
544,544,Strange errors when doing bundle install with Cramp,low
545,545,Deploy to a machine in the network using git,low
546,546,Most efficient way of drawing a large array of rectangles,low
547,547,Jira post function script not change subTasks status from resolve and close to another status,low
548,548,Kendo bar chart with texture pattern,high
549,549,Joining tables on an array with string,low
550,550,Ruby count number of found keywords in string,low
551,551,WPF Ribbon Contextual Tab Visibility binding,low
552,552,why regex is only validating one character from the field and not all entered,low
553,553,Jmeter and vpn connection,low
554,554,"Why doesn't jslint recognize ""window""",low
555,555,how to extract text from djvu and other ebooks format (possibly in Python),low
556,556,Java: Can't return a generic Collection with the parameter extending the return type,low
557,557,JQuery: Changing the DOM on dragstart event fires dragend immediately?,low
558,558,Console program for testing automation,low
559,559,How to read an array from XML-RPC,low
560,560,Hlint integration with emacs not working on new machine,low
561,561,AngularJS - error message on drop down window like html5 validation,low
562,562,"MIDP application, blocked by Connector.Open(..)",low
563,563,Java Help Interest Rate,low
564,564,El expression with Spring,low
565,565,Break up a string by words an punctionation,low
566,566,include function used before CodeIgniter class changes the view loading order,low
567,567,iphone sdk how to take a picture from camera and show the image in same view?,low
568,568,mysql-connector-python GBK encoding error,low
569,569,Use highlightCallback to highlight in Synchronized graphs points with same 'x',low
570,570,iPhone Game Landscape Orientation Issue,low
571,571,A question on an example in PHP 5 in Practice,low
572,572,Unix Basic programming,low
573,573,Image dont appear,low
574,574,tree visualization with libgraphviz / dot,low
